Consumer_Defensive       OTLY           : 1636.00%  燕麦奶, 奶制品, 植物奶, 瑞典
Consumer_Cyclical        HD.-           :  -1.51%  家得宝, 家居装修, 建筑材料, 草坪花园, 装修
Technology               MANH           :  -1.52%  供应链管理软件, 供应链管理, 软件平台
Industrials              ZTO            :  -1.54%  中通快递, 物流, 快递
Consumer_Defensive       SYY.*.-        :  -1.55%  西斯科, 食品, 食物, 肉, 餐具, 食品分销, 餐具, 厨具
Healthcare               BPMC.--        :  -1.55%  激酶抑制剂, 靶向治疗
Consumer_Cyclical        HRB            :  -1.56%  税务服务, 纳税申报, 税务, 报税软件, Spruce, 美国
Consumer_Cyclical        DKS.-          :  -1.56%  体育用品, 零售, 商店, 连锁
Consumer_Defensive       SJM.-          :  -1.59%  食品, 果酱
Financial_Services       KNSL.-         :  -1.60%  保险, 面向买不到保险的产品, 附加险
Industrials              DAL.*          :  -1.61%  达美航空, 航空, 飞机, 航空公司, 美国
Consumer_Cyclical        ASO.-          :  -1.62%  体育用品, 运动器材, 零售, 户外装备, 商店, 健身, 露营, 钓鱼, 烧烤
Communication_Services   GSAT           :  -1.63%  移动卫星通信, 电信, 低轨道卫星, 卫星电话, 物联网, 苹果合作商
Basic_Materials          UFPI.17        :  -1.63%  环球森林产品, 木材, 建筑材料
Healthcare               CNC            :  -1.64%  康西哥, 医疗保险, 为政府资助的医疗保健计划提供服务和产品, 长期护理, 医疗保健
Healthcare               TMO.--         :  -1.65%  赛默飞世尔, 生命科学, 科学仪器, 实验室设备, 耗材, 试剂
Healthcare               CYTK           :  -1.67%  调节心肌细胞和肌肉功能, 急性心衰, 肌营养不良
Consumer_Cyclical        PAG.-          :  -1.69%  汽车零售, 商用卡车销售, 特许经销店, 汽车保险, 汽车金融, 汽车贷款
Real_Estate              CTRE.-         :  -1.70%  房地产, 投资信托, 医疗保健, 长期护理, 护理, 老年人住房, 老年人护理
Consumer_Cyclical        PHM            :  -1.70%  土地采购, 住宅建筑, 第三大, 房地产销售, 房屋贷款金融服务, 美国
Healthcare               WST            :  -1.74%  药物包装, 包装, 注射器, 药物注射, 医疗保健, 医疗设备
Healthcare               ELV.-          :  -1.74%  医疗, 保险, 前身为安泰保险, 健康保险, 美国
Consumer_Cyclical        ORLY.-         :  -1.74%  汽车售后, 零部件
Consumer_Defensive       BTI.*.--       :  -1.75%  英美烟草, 登喜路, 电子烟
Consumer_Cyclical        MNSO           :  -1.77%  中国名创优品, 快时尚, 零售批发
Consumer_Cyclical        NIO.*          :  -1.80%  蔚来, 电动汽车, 中国
Consumer_Cyclical        TMHC           :  -1.81%  住宅建筑, 房地产, 美国
Technology               S.*.-          :  -1.81%  网络安全, 人工智能
Healthcare               PCVX           :  -1.82%  生物科技, 肺炎球菌疫苗
Industrials              SITE           :  -1.84%  景观供应, 草坪园艺, 照明灌溉
Financial_Services       FLG.*          :  -1.89%  纽约社区银行, 银行, 金融, 纽约商业银行
Consumer_Cyclical        CCL.*          :  -1.91%  嘉年华, 邮轮, 游轮, 旅游, 利率敏感
Consumer_Cyclical        MMYT.--        :  -1.91%  印度, 在线旅游, 旅游, 机票, 酒店, 住宿
Basic_Materials          SUZ            :  -1.93%  巴西, 纸浆, 纸张
Technology               AVGO.*.--      :  -1.94%  博通, 半导体, 通信芯片, 美国, AI, 数据中心, 人工智能芯片, AI芯片, ASIC, 芯片, 软件基础设施
Communication_Services   TKO            :  -1.95%  体育娱乐, 终极格斗, UFC, 摔角, WWE
Technology               EPAM.20.-      :  -1.96%  软件开发, 中东欧开发人员
Industrials              DY.--          :  -1.98%  电信行业工程服务提供商, 光纤, 电力线路
Consumer_Cyclical        F.*            :  -2.00%  福特, 汽车
Consumer_Cyclical        KBH            :  -2.02%  房地产, 住宅建筑
Industrials              GNRC           :  -2.03%  发电设备, 备用发电机, 应对飓风等自然灾害, 发动机
Basic_Materials          JHX.18.--      :  -2.03%  建筑材料, 纤维, 水泥
Technology               OTEX.-         :  -2.04%  企业信息管理软件
Real_Estate              COLD.20.-      :  -2.06%  美国冷库, 冷藏仓储, 温控仓库, 冷链, 房地产, 仓库, 仓储
Technology               CTSH.*         :  -2.13%  信息技术, 咨询, 外包
Consumer_Cyclical        AZO.-          :  -2.14%  汽车地带, 汽车零部件, 汽车配件, 零售连锁
Communication_Services   NFLX           :  -2.15%  奈飞, 流媒体
Technology               ONTO           :  -2.16%  半导体, 计量检测
Technology               APPF           :  -2.17%  房地产行业, 业务软件解决方案, 云计算, 企业软件
Consumer_Defensive       GIS.*.-        :  -2.18%  通用磨坊, 食品, 谷物早餐, 哈根达斯
Communication_Services   SIRI.*         :  -2.18%  卫星, 无线电广播, 广播, 娱乐
Healthcare               ALGN           :  -2.19%  医疗器械, 牙齿矫正, 正畸
Communication_Services   MSGS           :  -2.25%  麦迪逊广场花园体育, 拥有职业球队, 纽约尼克斯队, 体育, 运动
Healthcare               EXEL           :  -2.29%  生物制药, 制药, 癌症小分子疗法, 卡波替尼cabozantinib
Consumer_Cyclical        IBP.20.-       :  -2.30%  建筑, 建筑安装, 材料, 隔热材料, 绝缘材料
Healthcare               NTRA           :  -2.31%  基因检测, 产前/遗传病, 美国
Technology               ADSK.-         :  -2.33%  AutoCAD, Maya, 3DsMAX, 设计, 计算机设计, 工业设计, 工业软件
Healthcare               AXSM.18.-      :  -2.33%  生物制药, 抑郁症, 偏头痛, 中枢神经系统疾病, 医疗保健
Consumer_Cyclical        SKY.-          :  -2.34%  住宅建筑, 模块化住宅, 预制住宅制造商
Healthcare               SRPT.--        :  -2.41%  生物制药, 杜氏肌营养不良
Consumer_Cyclical        IHG.18.--      :  -2.41%  洲际酒店集团, 皇冠假日酒店, Holiday Inn
Financial_Services       BBAR           :  -2.42%  银行, 金融, 阿根廷
Technology               RELY.19        :  -2.47%  数字金融, 国际汇款, 跨境汇款, 帮助移民和海外工作者将资金汇回自己的祖国
Healthcare               ALNY.--        :  -2.52%  RNA干扰RNAi疗法, 基因沉默技术
Financial_Services       BSAC           :  -2.55%  智利, 桑坦德银行
Consumer_Cyclical        GPC.18         :  -2.60%  汽车零部件, 工业零件, 电子材料
Financial_Services       TRU.-          :  -2.67%  信用报告, 评级评分, 风险评估
Communication_Services   META.*         :  -2.76%  Facebook, 元宇宙, 扎克伯格, 在线广告, 社交网络, 开源人工智能AI, 虚拟现实VR
Consumer_Defensive       EDU            :  -2.76%  新东方, 在线教育, 培训, 中国
Technology               APP.*          :  -2.77%  移动平台, 广告营销, 数据分析, 广告购买, 广告投放, 在线广告
Consumer_Cyclical        MTN.-          :  -2.77%  滑雪度假村, 滑雪, 度假村, 美国
Technology               MSI.--         :  -2.78%  摩托罗拉拆分, 通信设备, 监控摄像头, 视频指挥中心
Utilities                FTS            :  -2.81%  电力, 天然气, 传输, 配送, 能源, 公共事业
Communication_Services   TMUS           :  -2.81%  TMobile, 电信运营商, 电信, 德国电信控股, 美国
Consumer_Cyclical        ANF            :  -2.88%  休闲服装, 服装, 年轻人
Healthcare               AVTR.*.-       :  -2.91%  生物技术, 实验室产品, 生产制造材料
Healthcare               INSP.-         :  -2.98%  Inspire疗法, 阻塞性睡眠呼吸暂停OSA
Consumer_Cyclical        TCOM.-         :  -3.00%  携程, 旅游, 机票酒店预定, 中国
Financial_Services       IBN.*          :  -3.05%  印度, 工业信贷, 投资银行
Consumer_Defensive       SFM.20         :  -3.17%  超市, 连锁, 有机食品, 美国, 食品
Industrials              ATKR           :  -3.20%  电气管道, 电缆支架, 镀锌机械管
Consumer_Defensive       PPC            :  -3.21%  巴西, 隶属于JBS, 禽肉生产, 食品加工
Consumer_Defensive       HIMS.*         :  -3.26%  远程医疗, 性健康, 皮肤护理, 山寨减肥药, AI医疗, Semaglutide
Communication_Services   ROKU.*         :  -3.30%  流媒体播放器, 流媒体OS, Roku Channel
Financial_Services       COIN.*.-       :  -3.53%  加密货币, 交易所, 美国
Consumer_Cyclical        HMC            :  -3.62%  本田, 汽车, 日本
Consumer_Defensive       BRFS           :  -3.69%  肉, 家禽, 食品, 加工, 巴西
Technology               ASTS.*         :  -3.74%  近地轨道卫星LEO, 太空宽带网络, SpaceX竞争对手
Consumer_Cyclical        DKNG.*         :  -3.74%  在线博彩, 体育博彩, 博彩, 现场投注
Communication_Services   DJT.*.-        :  -3.82%  特朗普媒体科技集团, Truth Social, SPAC, 特朗普
Consumer_Cyclical        VVV.-          :  -3.86%  胜牌, 汽车润滑油, 冷却液, 机油, 刹车液, 工业润滑油, 汽车行业
Industrials              BLDR.20        :  -3.87%  建筑材料, 装修, 美国
Consumer_Cyclical        ZK             :  -3.91%  极氪, 电动汽车, 中国, 隶属于吉利汽车, 吉利
Consumer_Cyclical        VIPS.21.-      :  -4.23%  唯品会, 电子商务, 名牌, 奢侈品, 折扣, 中国
Consumer_Cyclical        CPRI.-         :  -4.23%  时尚, 奢侈品, Michael Kors, Versace, Jimmy Choo, 范思哲
Real_Estate              BEKE.*         :  -4.34%  中国, 房地产, 在线
Healthcare               UNH.*.-        :  -4.35%  联合健康集团, Optum, 医疗, 医疗保险, 保险, 健康, 美国
Consumer_Defensive       CALM.-         :  -4.35%  卡尔梅恩, 鸡蛋, 食品, 生产, 分销, 有机鸡蛋, 美国
Consumer_Cyclical        MGM.*.-        :  -4.37%  米高梅, 赌场, 度假酒店, 博彩, 拉斯维加斯, 澳门
Energy                   WDS.-          :  -4.44%  澳大利亚, 石油, 液化天然气LNG
Consumer_Cyclical        CMG.*.-        :  -4.54%  墨西哥风味, 快餐, 烧烤, Chipotle, 连锁, 餐厅, 食品
Utilities                OKLO.*.-       :  -4.62%  核电, 小型模块化核反应堆, 核燃料回收, 核裂变发电, SMR, 能源
Communication_Services   RDDT.*.--      :  -4.71%  Meme, 社交媒体, 新闻聚合, 模因
Healthcare               BHVN.--        :  -4.92%  生物制药, 精神分裂, 偏头痛, Rimegepant, Nurtec, SCA
Communication_Services   BILI.20.*      :  -5.37%  哔哩哔哩, 中国, 在线视频, 流媒体
Consumer_Defensive       CAG.*          :  -5.46%  康尼格拉, 食品, 美国
Industrials              ALLE.18        :  -5.62%  安防技术, 门控系统, 机械锁, 电子安全装置
Consumer_Cyclical        JD.*           :  -5.97%  京东, 电子商务, 自营物流, 京东健康
Industrials              TNET.--        :  -7.02%  人力资源解决方案, 薪酬福利管理
Technology               AUR.*          :  -7.07%  自动驾驶, 无人驾驶, 卡车无人驾驶
Healthcare               MDT.18.*       :  -7.26%  美敦力, 心血管, 微创
Financial_Services       HOOD.*         :  -7.41%  Meme, 股票交易, 比特币, 模因, 加密货币交易
Healthcare               IBRX.*         :  -7.46%  免疫疗法, 卡介苗, Anktiva, 膀胱癌
Communication_Services   BIDU.18.*      :  -7.51%  百度, 搜索引擎, 广告, 地图, AI, 在线广告, 中国
Industrials              HRI            :  -7.66%  设备租赁, 建筑设备, 工业设备, 租赁, 二手设备
Healthcare               TEM.*          :  -8.37%  癌症治疗, 数据分析, 人工智能, 肿瘤数据库, AI医疗
Industrials              FLR.18.*.--    :  -8.41%  工程, 采购建造, 维护运营
Technology               KC.*           :  -8.84%  金山云, 数据中心, DeepSeek, AI, 云服务, 云计算
Technology               IONQ.*.-       :  -9.40%  量子计算, 量子计算机, 美国
Consumer_Cyclical        SG.*           :  -9.49%  快餐, 餐饮, 沙拉, 美国, 连锁, 食品, 餐厅
Communication_Services   EDR.-          : -12.85%  好莱坞, 艺人经纪
